update_count   point_num cluster_time   segmentation_time   match_time          total_time
135            2684      0.00638497     0.010031            0.000164338         0.017079
136            2675      0.00638958     0.0100522           0.000164315         0.0171051
137            2737      0.00639615     0.0100762           0.000164529         0.0171361
138            2668      0.00638823     0.0100705           0.000164357         0.0171215
139            2673      0.00638201     0.0100661           0.000164185         0.0171101
140            2823      0.00637705     0.010061            0.000163977         0.0170996
141            2958      0.00637564     0.0100623           0.000163978         0.0170993
142            3051      0.00637709     0.0100692           0.000163833         0.0171075
143            2815      0.00637319     0.0100654           0.000163615         0.0171
144            2969      0.00638293     0.0100778           0.000163395         0.0171217
145            2991      0.00639642     0.0101205           0.000163841         0.0171802
146            3036      0.00640116     0.0101361           0.000163784         0.0172003
147            2966      0.00640775     0.0101602           0.000163983         0.0172317
148            3073      0.00643335     0.0102013           0.000165596         0.0173007
149            3036      0.00644935     0.0102282           0.000165735         0.0173445
150            2770      0.00644232     0.0102213           0.000165534         0.0173303
151            3030      0.00644163     0.0102252           0.000165329         0.0173332
152            3082      0.0064488      0.0102428           0.000165288         0.0173585
153            2871      0.00646553     0.010269            0.000165515         0.0174023
154            2615      0.00647876     0.0102924           0.000165598         0.0174389
155            2675      0.00659898     0.010369            0.000165701         0.0176354
156            2542      0.0067062      0.0104234           0.000165688         0.0177976
157            2859      0.00670838     0.010434            0.000165528         0.0178107
158            2827      0.00672459     0.0104561           0.000165556         0.0178498
159            2574      0.00673367     0.0104698           0.000165471         0.0178719
160            2744      0.00675406     0.0104962           0.000165501         0.0179192
161            2641      0.00676089     0.0105132           0.000165583         0.0179438
162            2508      0.00675578     0.0105087           0.000165371         0.0179347
163            2932      0.00676803     0.010521            0.000165174         0.0179593
164            2687      0.00683623     0.0105455           0.000165113         0.018053
165            2779      0.00686713     0.0106034           0.000165537         0.0181429
166            2956      0.00689132     0.0106501           0.000165867         0.0182147
167            3046      0.00696038     0.0107252           0.000165866         0.0183597
168            2937      0.00699046     0.0107673           0.000165811         0.0184319
169            2837      0.0070656      0.0107936           0.000165682         0.0185329
170            2960      0.0070753      0.0108118           0.000165751         0.0185616
171            2853      0.00718641     0.0108463           0.00016575          0.0187078
172            2778      0.00718835     0.0108477           0.000165548         0.0187111
173            2799      0.00719577     0.0108587           0.000165488         0.0187293
174            2617      0.0072553      0.010876            0.000165366         0.0188061
175            2877      0.00737191     0.010921            0.000165335         0.0189673
176            2744      0.00736897     0.0109228           0.000165172         0.018966
177            2802      0.00739762     0.0109696           0.00016527          0.0190422
178            2937      0.0074147      0.0109978           0.000165261         0.0190883
179            2965      0.00746229     0.0110185           0.000165043         0.0191563
180            2758      0.00748068     0.0110647           0.000165092         0.0192218
181            2933      0.00757187     0.0111321           0.000165083         0.0193806
182            2804      0.0075738      0.0111432           0.000164995         0.0193935
183            2736      0.00757342     0.0111517           0.000164954         0.0194018
184            2952      0.00760192     0.0111835           0.00016487          0.0194621
185            2947      0.00761493     0.0111781           0.000164693         0.019469
186            2767      0.00770928     0.0112378           0.000164791         0.0196238
187            2926      0.00781111     0.0112782           0.000164731         0.0197661
188            2926      0.00780781     0.0112831           0.000164667         0.0197676
